sample,feature,value,label
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,1.33E-07,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.669596981,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.090845149,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.582703849,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,4.91E-08,Contaminated
Normal3,smoothened_af,0.571100931,Normal
Normal3,smoothened_af,0.481680845,Normal
Normal3,smoothened_af,0.208056634,Normal
Normal3,smoothened_af,0.980002237,Normal
Normal3,smoothened_af,0.503698522,Normal
Normal3,smoothened_af,0.000172327,Normal
Normal3,smoothened_af,0.980002237,Normal
Normal3,smoothened_af,0.134686437,Normal
Normal3,smoothened_af,0.215605633,Normal
Normal3,smoothened_af,7.90E-07,Normal
Normal3,smoothened_af,0.98018123,Normal
Normal3,smoothened_af,0.98018123,Normal
Normal3,smoothened_af,0.039703613,Normal
Normal3,smoothened_af,0.949282265,Normal
Normal3,smoothened_af,0.102039598,Normal
Normal3,smoothened_af,0.730364071,Normal
Normal3,smoothened_af,0.587163104,Normal
Normal3,smoothened_af,0.475418549,Normal
Normal3,smoothened_af,0.923714688,Normal
Normal3,smoothened_af,0.006693289,Normal
Normal3,smoothened_af,0.791827626,Normal
Normal3,smoothened_af,0.45628809,Normal
Normal3,smoothened_af,0.685680373,Normal
Normal3,smoothened_af,0.383882144,Normal
Normal3,smoothened_af,0.010032023,Normal
Normal3,smoothened_af,0.296270557,Normal
Normal3,smoothened_af,0.06726346,Normal
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.301322036,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.102219163,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.000904463,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.297454358,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.497892494,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.101842569,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.375321518,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.007427106,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.59813139,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.299274973,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.354137323,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.006164182,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.000133079,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.009885014,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.320196819,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.184413987,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.450274611,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.333333334,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,2.11E-05,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.249155834,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,1.32E-14,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.249071009,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.210372178,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.008446671,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,1.85E-07,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,0.141107713,Contaminated
NGS41-HD832-S1_92_FFPE8612-S1_8,smoothened_af,8.88E-14,Contaminated
HQ3065-R04_60_HQ4496-05_40,smoothened_af,0.134055256,Contaminated
HQ3065-R04_60_HQ4496-05_40,smoothened_af,0.321547704,Contaminated
HQ3065-R04_60_HQ4496-05_40,smoothened_af,0.090619242,Contaminated
HQ3065-R04_60_HQ4496-05_40,smoothened_af,0.022197088,Contaminated
